import time: self [us] | cumulative | imported package
import time:      4748 |      22020 |                                 torch.distributed
import time:       689 |        689 |                                                 torch.utils.data.datapipes._hook_iterator
import time:      1495 |       2184 |                                               torch.utils.data.datapipes._typing
import time:       486 |        486 |                                                 torch.utils._import_utils
import time:       511 |        511 |                                                   torch.utils.data.datapipes.utils
import time:      1387 |       1897 |                                                 torch.utils.data.datapipes.utils.common
import time:      1333 |       1333 |                                                 torch.utils.data.dataset
import time:      1787 |       5502 |                                               torch.utils.data.datapipes.datapipe
import time:      1328 |       9013 |                                             torch.utils.data.datapipes._decorator
import time:       515 |        515 |                                               torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       739 |       1253 |                                             torch.utils.data.datapipes.dataframe.structures
import time:      1646 |      11910 |                                           torch.utils.data.datapipes.dataframe.dataframes
import time:       860 |        860 |                                           torch.utils.data.datapipes.dataframe.datapipes
import time:      1182 |      13952 |                                         torch.utils.data.datapipes.dataframe
import time:       825 |        825 |                                                 torch.utils.data._utils.collate
import time:       618 |        618 |                                                 torch.utils.data._utils.fetch
import time:       746 |        746 |                                                 torch.utils.data._utils.pin_memory
import time:       500 |        500 |                                                 torch.utils.data._utils.signal_handling
import time:      2083 |       2083 |                                                 torch.utils.data._utils.worker
import time:       648 |       5417 |                                               torch.utils.data._utils
import time:        21 |       5438 |                                             torch.utils.data._utils.collate
import time:      1175 |       6613 |                                           torch.utils.data.datapipes.iter.callable
import time:       799 |        799 |                                             torch.utils.data.sampler
import time:      1070 |       1868 |                                           torch.utils.data.datapipes.iter.combinatorics
import time:      1170 |       1170 |                                           torch.utils.data.datapipes.iter.combining
import time:       536 |        536 |                                             torch.utils.data.datapipes.iter.utils
import time:       846 |       1381 |                                           torch.utils.data.datapipes.iter.filelister
import time:       577 |        577 |                                           torch.utils.data.datapipes.iter.fileopener
import time:       716 |        716 |                                             torch.utils.data.datapipes.iter.sharding
import time:       753 |       1469 |                                           torch.utils.data.datapipes.iter.grouping
import time:       716 |        716 |                                             torch.utils.data.datapipes.utils.decoder
import time:       934 |       1650 |                                           torch.utils.data.datapipes.iter.routeddecoder
import time:       612 |        612 |                                           torch.utils.data.datapipes.iter.selecting
import time:       708 |        708 |                                           torch.utils.data.datapipes.iter.streamreader
import time:      3257 |      19303 |                                         torch.utils.data.datapipes.iter
import time:       764 |        764 |                                           torch.utils.data.datapipes.map.callable
import time:       659 |        659 |                                           torch.utils.data.datapipes.map.combinatorics
import time:       789 |        789 |                                           torch.utils.data.datapipes.map.combining
import time:       616 |        616 |                                           torch.utils.data.datapipes.map.grouping
import time:       511 |        511 |                                           torch.utils.data.datapipes.map.utils
import time:      1804 |       5140 |                                         torch.utils.data.datapipes.map
import time:       776 |      39169 |                                       torch.utils.data.datapipes
import time:        34 |      39203 |                                     torch.utils.data.datapipes.iter
import time:        37 |      39240 |                                   torch.utils.data.datapipes.iter.sharding
import time:       716 |        716 |                                   torch.utils.data.graph
import time:       874 |      40828 |                                 torch.utils.data.graph_settings
import time:      1871 |      66344 |                               torch.utils.data.dataloader
import time:       591 |        591 |                               torch.utils.data.distributed
import time:      1424 |      68358 |                             torch.utils.data
import time:       518 |        518 |                             torch.utils.deterministic
import time:       554 |        554 |                             torch.utils.hooks
import time:       603 |        603 |                             torch.utils.backend_registration
import time:       485 |        485 |                             torch.utils.cpp_backtrace
import time:       508 |        508 |                             torch.utils.throughput_benchmark
import time:      1691 |      74376 |                           torch.utils
import time:       921 |        921 |                           torchgen
import time:       769 |        769 |                               torchgen.code_template
import time:      1135 |       1903 |                             torchgen.utils
import time:     17382 |      19285 |                           torchgen.model
import time:      1907 |      96487 |                         torch.utils._python_dispatch
import time:      3068 |     101175 |                       torch.nn.modules.module
import time:       618 |        618 |                             torch.distributed.rpc
import time:      1137 |       1137 |                                         pickletools
import time:       560 |        560 |                                         torch.package._digraph
import time:       520 |        520 |                                         torch.package._importlib
import time:       580 |        580 |                                         torch.package._mangling
import time:       610 |        610 |                                           torch.package.importer
import time:       978 |       1588 |                                         torch.package._package_pickler
import time:       608 |        608 |                                         torch.package._stdlib
import time:       570 |        570 |                                         torch.package.find_file_dependencies
import time:       530 |        530 |                                         torch.package.glob_group
import time:      3880 |       9970 |                                       torch.package.package_exporter
import time:      1066 |      11035 |                                     torch.package.analyze.find_first_use_of_broken_modules
import time:       552 |        552 |                                     torch.package.analyze.trace_dependencies
import time:      1194 |      12780 |                                   torch.package.analyze
import time:       608 |      13387 |                                 torch.package.analyze.is_from_package
import time:       640 |        640 |                                 torch.package.file_structure_representation
import time:       539 |        539 |                                   torch.package._directory_reader
import time:       523 |        523 |                                   torch.package._package_unpickler
import time:      1587 |       2648 |                                 torch.package.package_importer
import time:      1510 |      18185 |                               torch.package
import time:        26 |      18210 |                             torch.package._mangling
import time:       618 |        618 |                             torch._awaits
import time:       763 |        763 |                             torch.futures
import time:      1506 |      21713 |                           torch._jit_internal
import time:      2038 |       2038 |                           torch._torch_docs
import time:       505 |        505 |                           torch.nn._reduction
import time:       496 |        496 |                             torch.nn.modules.utils
import time:       730 |       1225 |                           torch.nn.grad
import time:     13843 |      39323 |                         torch.nn.functional
import time:       598 |        598 |                         torch.nn.init
import time:       613 |        613 |                         torch.nn.modules.lazy
import time:      1000 |      41533 |                       torch.nn.modules.linear
import time:      1438 |       1438 |                       torch.nn.modules.activation
import time:      1469 |       1469 |                         torch.nn.modules.container
import time:      1744 |       3213 |                       torch.nn.modules.adaptive
import time:       136 |        136 |                                       _csv
import time:       829 |        965 |                                     csv
import time:       714 |        714 |                                     email
import time:       870 |        870 |                                         quopri
import time:      1362 |       1362 |                                             calendar
import time:      1190 |       2552 |                                           email._parseaddr
import time:       750 |        750 |                                             email.base64mime
import time:       758 |        758 |                                             email.quoprimime
import time:       795 |        795 |                                             email.errors
import time:       480 |        480 |                                             email.encoders
import time:       981 |       3762 |                                           email.charset
import time:      1682 |       7994 |                                         email.utils
import time:      1214 |       1214 |                                           email.header
import time:      1083 |       2296 |                                         email._policybase
import time:       694 |        694 |                                         email._encoded_words
import time:       789 |        789 |                                         email.iterators
import time:      2705 |      15347 |                                       email.message
import time:       513 |        513 |                                         importlib.metadata._functools
import time:       892 |       1405 |                                       importlib.metadata._text
import time:      1080 |      17831 |                                     importlib.metadata._adapters
import time:       632 |        632 |                                     importlib.metadata._meta
import time:       613 |        613 |                                     importlib.metadata._collections
import time:       484 |        484 |                                     importlib.metadata._itertools
import time:       783 |        783 |                                             importlib.resources.abc
import time:       847 |        847 |                                             importlib.resources._adapters
