import time: self [us] | cumulative | imported package
import time:        21 |        577 |                 org.python
import time:        16 |        593 |               org.python.core
import time:      7398 |       8938 |             pickle
import time:      1666 |       1666 |               _socket
import time:       618 |        618 |                 select
import time:      1049 |       1667 |               selectors
import time:      7874 |      11206 |             socket
import time:        73 |         73 |                 _locale
import time:      7279 |       7352 |               locale
import time:       880 |        880 |               signal
import time:       546 |        546 |               fcntl
import time:     14151 |      22927 |             subprocess
import time:       925 |        925 |                   numpy._utils._convertions
import time:      5017 |       5941 |                 numpy._utils
import time:      7319 |      13260 |               numpy._globals
import time:       972 |        972 |               numpy._expired_attrs_2_0
import time:       690 |        690 |               numpy.version
import time:       104 |        104 |                 numpy._distributor_init_local
import time:       708 |        811 |               numpy._distributor_init
import time:       811 |        811 |                         numpy._utils._inspect
import time:      1095 |       1095 |                           numpy.exceptions
import time:       992 |        992 |                           numpy._core._exceptions
import time:       653 |        653 |                           numpy.dtypes
import time:     90661 |      93400 |                         numpy._core._multiarray_umath
import time:      9482 |     103692 |                       numpy._core.overrides
import time:      8411 |     112102 |                     numpy._core.multiarray
import time:       966 |        966 |                     numpy._core.umath
import time:      1115 |       1115 |                       numpy._core._string_helpers
import time:       969 |        969 |                       numpy._core._type_aliases
import time:       872 |        872 |                       numpy._core._dtype
import time:     32039 |      34994 |                     numpy._core.numerictypes
import time:        92 |         92 |                                 _contextvars
import time:       747 |        839 |                               contextvars
import time:     10732 |      11570 |                             numpy._core._ufunc_config
import time:      7957 |      19527 |                           numpy._core._methods
import time:      1734 |      21260 |                         numpy._core.fromnumeric
import time:      1055 |      22315 |                       numpy._core.shape_base
import time:     12052 |      12052 |                       numpy._core.arrayprint
import time:       733 |        733 |                       numpy._core._asarray
import time:     46762 |      81860 |                     numpy._core.numeric
import time:      1000 |       1000 |                     numpy._core.records
import time:       880 |        880 |                     numpy._core.memmap
import time:      1101 |       1101 |                     numpy._core.function_base
import time:       821 |        821 |                     numpy._core._machar
import time:      6739 |       6739 |                     numpy._core.getlimits
import time:      1019 |       1019 |                     numpy._core.einsumfunc
import time:     13744 |      13744 |                       numpy._core._multiarray_tests
import time:      2400 |      16144 |                     numpy._core._add_newdocs
import time:      1145 |       1145 |                     numpy._core._add_newdocs_scalars
import time:       742 |        742 |                     numpy._core._dtype_ctypes
import time:      1363 |       1363 |                     numpy._core._internal
import time:       752 |        752 |                     numpy._pytesttester
import time:     55901 |     317523 |                   numpy._core
import time:        33 |     317556 |                 numpy._core._multiarray_umath
import time:       987 |     318542 |               numpy.__config__
import time:       830 |        830 |                   numpy.lib._array_utils_impl
import time:      5825 |       6655 |                 numpy.lib.array_utils
